127.0.0.1 - - [14/Sep/2016:18:13:05 -0300] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:53 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:53 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:53 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:53 -0300] "GET /jyaa_2016_grupo06_final/faces/css/bootstrap-responsive.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:53 -0300] "GET /jyaa_2016_grupo06_final/faces/css/estilo.css HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:53 -0300] "GET /jyaa_2016_grupo06_final/faces/css/estilo.css HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:53 -0300] "GET /jyaa_2016_grupo06_final/faces/css/bootstrap-responsive.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:53 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:53 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:54 -0300] "GET /jyaa_2016_grupo06_final/faces/login.xhtml HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:54 -0300] "GET /jyaa_2016_grupo06_final/faces/css/bootstrap-responsive.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:54 -0300] "GET /jyaa_2016_grupo06_final/faces/css/estilo.css HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:54 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:54 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:54 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:54 -0300] "GET /jyaa_2016_grupo06_final/faces/css/estilo.css HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:54 -0300] "GET /jyaa_2016_grupo06_final/faces/css/bootstrap-responsive.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:54 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:54 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:55 -0300] "POST /jyaa_2016_grupo06_final/faces/LoginUsr HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:55 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:55 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:55 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:55 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:55 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:56 -0300] "GET /jyaa_2016_grupo06_final/faces/usuario_busquedaRuta.xhtml HTTP/1.1" 200 16231
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:56 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:56 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:56 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:56 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:16:56 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:17:00 -0300] "POST /jyaa_2016_grupo06_final/faces/usuario_busquedaRuta.xhtml HTTP/1.1" 200 15170
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:17:01 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:17:01 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:17:01 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:17:01 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:17:01 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:17:24 -0300] "POST /jyaa_2016_grupo06_final/faces/usuario_busquedaRuta.xhtml HTTP/1.1" 200 13578
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:17:24 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:17:24 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:17:24 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:17:24 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [14/Sep/2016:18:17:24 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1076
